index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
28,20220923_171323,1663978404,1663978406,40,40,160,2.25,-11.042,9.076,42.25,28.958,169.076,-3.01E+01,2.36E+02,-3.71E+01,8.92E-02,1.22E-02,2.15E-01
29,20220923_171331,1663978411,1663978414,40,40,200,2.25,-11.042,9.076,42.25,28.958,209.076,-1.66E+01,2.41E+02,-3.25E+01,1.86E-01,5.48E-03,5.36E-02
30,20220923_171601,1663978562,1663978564,40,80,40,2.25,-11.042,9.076,42.25,68.958,49.076,-6.42E+01,1.92E+02,-3.16E+01,8.99E-02,4.16E-02,5.18E-02
31,20220923_171610,1663978571,1663978573,40,80,80,2.25,-11.042,9.076,42.25,68.958,89.076,-5.32E+01,2.11E+02,-3.75E+01,1.34E-02,5.48E-03,1.78E-02
32,20220923_171621,1663978581,1663978583,40,80,120,2.25,-11.042,9.076,42.25,68.958,129.076,-3.99E+01,2.24E+02,-3.69E+01,3.37E-02,1.14E-02,2.52E-02
33,20220923_171629,1663978589,1663978591,40,80,160,2.25,-11.042,9.076,42.25,68.958,169.076,-2.82E+01,2.32E+02,-3.53E+01,3.64E-02,5.48E-03,8.20E-02
34,20220923_171637,1663978598,1663978600,40,80,200,2.25,-11.042,9.076,42.25,68.958,209.076,-1.64E+01,2.37E+02,-3.24E+01,6.52E-02,1.48E-02,4.53E-02
35,20220923_171736,1663978657,1663978659,0,80,40,2.25,-11.042,9.076,2.25,68.958,49.076,-7.46E+01,2.05E+02,-3.55E+01,1.21E-02,5.48E-03,9.01E-03
36,20220923_171747,1663978667,1663978669,0,80,80,2.25,-11.042,9.076,2.25,68.958,89.076,-6.15E+01,2.24E+02,-4.11E+01,1.47E-01,3.78E-02,2.73E-02
37,20220923_171756,1663978676,1663978678,0,80,120,2.25,-11.042,9.076,2.25,68.958,129.076,-4.58E+01,2.37E+02,-4.07E+01,5.72E-02,1.30E-01,7.60E-01
38,20220923_171806,1663978687,1663978689,0,80,160,2.25,-11.042,9.076,2.25,68.958,169.076,-3.43E+01,2.45E+02,-3.69E+01,4.49E-02,1.14E-02,7.21E-02
39,20220923_171815,1663978695,1663978697,0,80,200,2.25,-11.042,9.076,2.25,68.958,209.076,-1.94E+01,2.49E+02,-3.31E+01,8.71E-02,8.37E-03,7.33E-02
40,20220923_171910,1663978750,1663978752,-40,80,40,2.25,-11.042,9.076,-37.75,68.958,49.076,-8.40E+01,2.20E+02,-4.40E+01,4.67E-02,1.00E-02,1.41E-01
41,20220923_171921,1663978762,1663978764,-40,80,80,2.25,-11.042,9.076,-37.75,68.958,89.076,-6.61E+01,2.39E+02,-4.71E+01,2.97E-02,1.10E-02,5.39E-02
42,20220923_171929,1663978770,1663978772,-40,80,120,2.25,-11.042,9.076,-37.75,68.958,129.076,-4.97E+01,2.52E+02,-4.35E+01,7.19E-02,2.07E-02,2.28E-01
43,20220923_171938,1663978779,1663978781,-40,80,160,2.25,-11.042,9.076,-37.75,68.958,169.076,-3.64E+01,2.59E+02,-3.90E+01,4.18E-02,5.48E-03,2.96E-02
44,20220923_171947,1663978788,1663978790,-40,80,200,2.25,-11.042,9.076,-37.75,68.958,209.076,-2.15E+01,2.63E+02,-3.44E+01,4.32E-01,8.37E-03,1.15E-01
