index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
22,20220926_170011,1664236811.158141610,1664236813.237802500,-40.000000,-26.500,100.000,-2.250000,11.367,8.442,-42.250000,-15.133,108.442,-4.675900E+1,3.090120E+2,-4.027400E+0,4.047839E-2,1.483240E-2,5.831784E-2
23,20220926_170020,1664236820.126595020,1664236822.206968780,-40.000000,-26.500,120.000,-2.250000,11.367,8.442,-42.250000,-15.133,128.442,-2.795440E+1,3.144840E+2,2.506960E+0,5.727390E-2,2.073644E-2,3.704589E-2
24,20220926_170612,1664237172.070325370,1664237174.151152610,-40.000000,-36.500,40.000,-2.250000,11.367,8.442,-42.250000,-25.133,48.442,-6.720220E+1,2.764040E+2,8.233200E+0,1.275860E-1,2.408319E-2,2.423947E-1
25,20220926_170620,1664237180.328584670,1664237182.409648890,-40.000000,-36.500,60.000,-2.250000,11.367,8.442,-42.250000,-25.133,68.442,-7.069460E+1,2.791400E+2,-9.042180E+0,3.564828E-2,1.224745E-2,1.307161E-2
26,20220926_170628,1664237188.025247100,1664237190.105617520,-40.000000,-36.500,80.000,-2.250000,11.367,8.442,-42.250000,-25.133,88.442,-6.769580E+1,2.977200E+2,-1.761648E+1,2.612853E-2,0.000000E+0,2.865566E-2
27,20220926_170635,1664237195.655727390,1664237197.736420150,-40.000000,-36.500,100.000,-2.250000,11.367,8.442,-42.250000,-25.133,108.442,-5.119840E+1,3.139600E+2,-6.855060E+0,3.936115E-2,2.121320E-2,7.172073E-2
28,20220926_170646,1664237206.225201610,1664237208.305742260,-40.000000,-36.500,120.000,-2.250000,11.367,8.442,-42.250000,-25.133,128.442,-2.904900E+1,3.172880E+2,3.560880E+0,3.438750E-2,8.366600E-3,3.402480E-2
29,20220926_171142,1664237502.185710430,1664237504.265969750,-20.000000,-36.500,40.000,-2.250000,11.367,8.442,-22.250000,-25.133,48.442,-6.162400E+1,2.794780E+2,3.387860E+0,6.204837E-3,4.472136E-3,1.303718E-2
30,20220926_171156,1664237516.753523830,1664237518.834708690,-20.000000,-36.500,80.000,-2.250000,11.367,8.442,-22.250000,-25.133,88.442,-5.908560E+1,2.885180E+2,-4.724620E+0,1.712600E-2,4.472136E-3,2.768893E-2
31,20220926_171209,1664237529.692606450,1664237531.774234290,-20.000000,-36.500,100.000,-2.250000,11.367,8.442,-22.250000,-25.133,108.442,-4.515540E+1,2.950240E+2,-1.976660E+0,2.848333E-2,5.477226E-3,2.259730E-2
32,20220926_171220,1664237540.107664110,1664237542.188552860,-20.000000,-36.500,120.000,-2.250000,11.367,8.442,-22.250000,-25.133,128.442,-2.737820E+1,2.968740E+2,1.607320E+0,2.419091E-2,8.944272E-3,1.581319E-2
33,20220926_171403,1664237643.729491230,1664237645.810327050,0.000000,-36.500,40.000,-2.250000,11.367,8.442,-2.250000,-25.133,48.442,-6.297460E+1,2.815800E+2,2.309740E+0,1.001499E-2,0.000000E+0,4.438579E-2
34,20220926_171415,1664237655.400643820,1664237657.483534340,0.000000,-36.500,60.000,-2.250000,11.367,8.442,-2.250000,-25.133,68.442,-6.104700E+1,2.786780E+2,2.110200E+0,1.157584E-2,4.472136E-3,1.858615E-2
