index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
23,20220923_171201,1663978321.788635250,1663978323.869816780,0.000000,40.000,160.000,-2.250000,11.367,8.442,-2.250000,51.367,168.442,-3.555420E+1,2.500180E+2,-3.806220E+1,7.525424E-2,8.366600E-3,5.418210E-2
24,20220923_171210,1663978330.089594360,1663978332.170343400,0.000000,40.000,200.000,-2.250000,11.367,8.442,-2.250000,51.367,208.442,-2.113960E+1,2.538700E+2,-3.258640E+1,2.577970E-1,2.000000E-2,9.936448E-2
25,20220923_171259,1663978379.613091950,1663978381.694074630,40.000000,40.000,40.000,-2.250000,11.367,8.442,37.750000,51.367,48.442,-6.980960E+1,1.859660E+2,-4.550860E+1,4.265325E-2,1.143678E-1,6.974095E-2
26,20220923_171307,1663978387.061808110,1663978389.142117500,40.000000,40.000,80.000,-2.250000,11.367,8.442,37.750000,51.367,88.442,-5.758940E+1,2.115960E+2,-4.549680E+1,7.971700E-2,2.302173E-2,8.456477E-2
27,20220923_171315,1663978395.342776770,1663978397.423044680,40.000000,40.000,120.000,-2.250000,11.367,8.442,37.750000,51.367,128.442,-4.312500E+1,2.271180E+2,-4.193440E+1,2.521904E-2,1.643168E-2,1.531773E-1
28,20220923_171323,1663978403.757621760,1663978405.838682170,40.000000,40.000,160.000,-2.250000,11.367,8.442,37.750000,51.367,168.442,-3.009500E+1,2.359200E+2,-3.714420E+1,8.922724E-2,1.224745E-2,2.150226E-1
29,20220923_171331,1663978411.310183050,1663978413.803493020,40.000000,40.000,200.000,-2.250000,11.367,8.442,37.750000,51.367,208.442,-1.662080E+1,2.405940E+2,-3.250420E+1,1.863873E-1,5.477226E-3,5.356491E-2
30,20220923_171601,1663978561.806595320,1663978564.324817660,40.000000,80.000,40.000,-2.250000,11.367,8.442,37.750000,91.367,48.442,-6.420760E+1,1.920660E+2,-3.160300E+1,8.987380E-2,4.159327E-2,5.180251E-2
31,20220923_171610,1663978570.711012840,1663978572.791428090,40.000000,80.000,80.000,-2.250000,11.367,8.442,37.750000,91.367,88.442,-5.323500E+1,2.108460E+2,-3.748920E+1,1.336039E-2,5.477226E-3,1.775387E-2
32,20220923_171621,1663978581.242084030,1663978583.322604660,40.000000,80.000,120.000,-2.250000,11.367,8.442,37.750000,91.367,128.442,-3.985100E+1,2.243060E+2,-3.694420E+1,3.371202E-2,1.140175E-2,2.516347E-2
