INDEX,Datetime,UNIX_time,LV_time,FG1x,FG2x,FG3x,FG1y,FG2y,FG3y,FG1z,FG2z,FG3z
36,20220923_153225,1663972345.614672180,3746817145.614672180,11.91861,97.98063,29.91606,-163.64981,-185.11658,-359.08434,60.84114,92.43625,3.51017
37,20220923_153226,1663972346.114686970,3746817146.114686960,11.91922,97.97681,29.92505,-163.65080,-185.12236,-359.07917,60.83572,92.43305,3.50783
38,20220923_153226,1663972346.614776130,3746817146.614776130,11.92107,97.97792,29.92012,-163.64883,-185.11891,-359.08570,60.84102,92.42787,3.50376
39,20220923_153227,1663972347.114804740,3746817147.114804740,11.91503,97.98100,29.91482,-163.65228,-185.12446,-359.08422,60.84287,92.43144,3.50968
40,20220923_153227,1663972347.615716930,3746817147.615716930,11.91577,97.98519,29.92111,-163.64846,-185.12150,-359.08434,60.84336,92.43083,3.50660
41,20220923_153228,1663972348.115060810,3746817148.115060810,11.91848,97.98593,29.91803,-163.64464,-185.11977,-359.08375,60.83547,92.43305,3.50549
42,20220923_153228,1663972348.615209580,3746817148.615209580,11.91885,97.97989,29.91729,-163.65080,-185.12323,-359.08597,60.83276,92.43169,3.50734
43,20220923_153229,1663972349.115921500,3746817149.115921500,11.92231,97.98186,29.91914,-163.64267,-185.11792,-359.07955,60.84114,92.43034,3.51350
44,20220923_153229,1663972349.615823270,3746817149.615823270,11.92378,97.98889,29.92037,-163.64341,-185.13161,-359.08239,60.84312,92.43600,3.50943
45,20220923_153230,1663972350.116762640,3746817150.116762640,11.91713,97.98248,29.92419,-163.65216,-185.12458,-359.07426,60.84324,92.43563,3.51165
46,20220923_153230,1663972350.616425040,3746817150.616425040,11.92243,97.97632,29.91951,-163.65364,-185.12347,-359.07710,60.83695,92.43600,3.50487
47,20220923_153231,1663972351.116741660,3746817151.116741660,11.91935,97.98075,29.91014,-163.65105,-185.11903,-359.07695,60.83979,92.43021,3.51054
48,20220923_153231,1663972351.616661550,3746817151.616661550,11.91787,97.97779,29.91618,-163.65154,-185.12372,-359.07991,60.84447,92.43761,3.50783
49,20220923_153232,1663972352.116571430,3746817152.116571430,11.91873,97.98038,29.91864,-163.64574,-185.12286,-359.08005,60.84312,92.43453,3.50450
50,20220923_153232,1663972352.616506580,3746817152.616506580,11.92083,97.98223,29.92185,-163.64944,-185.12729,-359.07795,60.83597,92.43563,3.50216
51,20220923_153233,1663972353.118003840,3746817153.118003840,11.91664,97.98087,29.91445,-163.65560,-185.12815,-359.08153,60.83905,92.43391,3.51029
52,20220923_153233,1663972353.618601800,3746817153.618601800,11.91664,97.98075,29.91766,-163.65142,-185.12642,-359.08830,60.83905,92.42960,3.50795
53,20220923_153234,1663972354.118805410,3746817154.118805410,11.92428,97.98112,29.91544,-163.65216,-185.12594,-359.09336,60.83942,92.43785,3.51374
54,20220923_153234,1663972354.618795870,3746817154.618795870,11.92120,97.97927,29.92357,-163.64759,-185.12532,-359.08337,60.83979,92.44217,3.50536
55,20220923_153235,1663972355.118773460,3746817155.118773460,11.91885,97.97804,29.91803,-163.65093,-185.12471,-359.08608,60.84275,92.43403,3.51017
56,20220923_153235,1663972355.618216990,3746817155.618216990,11.91775,97.97742,29.92012,-163.65401,-185.12384,-359.07660,60.83375,92.43391,3.50746
57,20220923_153236,1663972356.118841650,3746817156.118841650,11.92058,97.97533,29.91926,-163.65278,-185.12372,-359.08263,60.83942,92.43366,3.50598
58,20220923_153236,1663972356.618827820,3746817156.618827820,11.92009,97.97730,29.91754,-163.64846,-185.12421,-359.07769,60.84287,92.43465,3.50376
59,20220923_153237,1663972357.118348600,3746817157.118348600,11.91848,97.98272,29.92136,-163.65412,-185.12088,-359.08694,60.84386,92.43477,3.50647
60,20220923_153237,1663972357.618312840,3746817157.618312830,11.91787,97.98445,29.91482,-163.65634,-185.12421,-359.08535,60.84164,92.43576,3.50857
61,20220923_153238,1663972358.118152140,3746817158.118152140,11.92046,97.97977,29.92111,-163.65327,-185.12409,-359.08473,60.84213,92.43157,3.51214
62,20220923_153238,1663972358.618382450,3746817158.618382450,11.92452,97.98691,29.92148,-163.65253,-185.12138,-359.08546,60.84028,92.43342,3.50844
63,20220923_153239,1663972359.118222240,3746817159.118222240,11.92686,97.98026,29.92000,-163.65241,-185.12704,-359.07376,60.84422,92.43822,3.50857
64,20220923_153239,1663972359.618606570,3746817159.618606570,11.92539,97.98026,29.92025,-163.65228,-185.12076,-359.07843,60.84472,92.43169,3.50980
65,20220923_153240,1663972360.118605610,3746817160.118605610,11.92563,97.97903,29.92173,-163.65216,-185.12532,-359.07671,60.84164,92.43699,3.51572
66,20220923_153240,1663972360.618265630,3746817160.618265630,11.91996,97.98223,29.92062,-163.65352,-185.12125,-359.07722,60.84583,92.43280,3.50918
67,20220923_153241,1663972361.118889810,3746817161.118889810,11.92095,97.98445,29.92197,-163.64526,-185.12125,-359.08484,60.84188,92.43416,3.50918
68,20220923_153241,1663972361.618738170,3746817161.618738170,11.91898,97.97360,29.92271,-163.64772,-185.12236,-359.08251,60.83893,92.43613,3.51239
69,20220923_153242,1663972362.118772030,3746817162.118772030,11.91959,97.98359,29.91926,-163.64292,-185.12199,-359.08139,60.83917,92.43711,3.51214
70,20220923_153242,1663972362.619102480,3746817162.619102480,11.92083,97.98531,29.92357,-163.64895,-185.12545,-359.07326,60.83117,92.42639,3.50056
71,20220923_153243,1663972363.119775290,3746817163.119775290,11.92157,97.98346,29.91766,-163.63971,-185.10906,-359.06599,60.83117,92.42048,3.49920
72,20220923_153243,1663972363.620044230,3746817163.620044230,11.92317,97.98494,29.91864,-163.64131,-185.11829,-359.06317,60.83067,92.42159,3.49760
73,20220923_153244,1663972364.119644640,3746817164.119644640,11.92354,97.98999,29.91926,-163.63590,-185.11065,-359.06353,60.83055,92.42085,3.49896
74,20220923_153244,1663972364.619778630,3746817164.619778630,11.92194,97.98112,29.92000,-163.63934,-185.11028,-359.07819,60.83117,92.42787,3.50154
75,20220923_153245,1663972365.119873520,3746817165.119873520,11.92378,97.97977,29.91926,-163.64648,-185.11682,-359.07018,60.83153,92.42787,3.50278
76,20220923_153245,1663972365.619847770,3746817165.619847770,11.92267,97.98137,29.92505,-163.64636,-185.11792,-359.07228,60.83732,92.43268,3.50499
77,20220923_153246,1663972366.119944570,3746817166.119944570,11.92095,97.98124,29.91507,-163.64427,-185.12224,-359.07784,60.83560,92.43268,3.51227
78,20220923_153246,1663972366.620010380,3746817166.620010380,11.91380,97.98001,29.91433,-163.64821,-185.11719,-359.08065,60.84299,92.43798,3.51399
79,20220923_153247,1663972367.119931220,3746817167.119931220,11.92206,97.97927,29.91803,-163.65056,-185.12347,-359.08756,60.84188,92.43416,3.51091
80,20220923_153247,1663972367.619214530,3746817167.619214530,11.92157,97.97903,29.91655,-163.64710,-185.12446,-359.08434,60.84065,92.43600,3.50832
81,20220923_153248,1663972368.119919300,3746817168.119919300,11.91516,97.98593,29.92209,-163.65080,-185.12655,-359.08115,60.83880,92.43970,3.51128
82,20220923_153248,1663972368.619309420,3746817168.619309420,11.91811,97.98149,29.92209,-163.64636,-185.12298,-359.08227,60.83523,92.42984,3.50857
83,20220923_153249,1663972369.119513030,3746817169.119513030,11.92058,97.98334,29.92209,-163.64784,-185.12753,-359.08399,60.84127,92.43798,3.50906
84,20220923_153249,1663972369.619547370,3746817169.619547370,11.91935,97.98272,29.91667,-163.64415,-185.12446,-359.07683,60.83942,92.43502,3.50746
85,20220923_153250,1663972370.120016100,3746817170.120016100,11.92292,97.98038,29.92555,-163.64599,-185.12434,-359.07745,60.84028,92.43835,3.51510
86,20220923_153250,1663972370.619286540,3746817170.619286540,11.91922,97.97681,29.92197,-163.64883,-185.12939,-359.08029,60.84176,92.44007,3.50820
87,20220923_153251,1663972371.119441030,3746817171.119441030,11.92095,97.98334,29.92555,-163.64477,-185.11891,-359.08263,60.83979,92.43465,3.51535
88,20220923_153251,1663972371.620067120,3746817171.620067120,11.92341,97.97422,29.92197,-163.65093,-185.12384,-359.07745,60.83511,92.43465,3.50844
89,20220923_153252,1663972372.120825770,3746817172.120825770,11.92206,97.97607,29.92012,-163.64858,-185.12286,-359.07991,60.83893,92.42849,3.50487
90,20220923_153252,1663972372.620782370,3746817172.620782370,11.92440,97.97521,29.91470,-163.63959,-185.12162,-359.08360,60.84484,92.43687,3.50844
91,20220923_153253,1663972373.120203020,3746817173.120203020,11.92748,97.97632,29.91532,-163.63627,-185.12249,-359.07819,60.84694,92.43095,3.50857
92,20220923_153253,1663972373.620709420,3746817173.620709420,11.89261,97.98334,29.91889,-163.64329,-185.12286,-359.08608,60.84706,92.43945,3.50647
93,20220923_153254,1663972374.120690350,3746817174.120690340,11.89791,97.97755,29.91556,-163.63996,-185.12594,-359.08263,60.85359,92.42997,3.51313
94,20220923_153254,1663972374.621044640,3746817174.621044630,11.89901,97.97385,29.92012,-163.64907,-185.12360,-359.08558,60.84903,92.43070,3.50376
95,20220923_153255,1663972375.120304580,3746817175.120304580,11.90062,97.97558,29.91593,-163.64685,-185.12803,-359.07869,60.85322,92.43674,3.50684
96,20220923_153255,1663972375.620746610,3746817175.620746610,11.89347,97.97755,29.92357,-163.64464,-185.12150,-359.08053,60.85051,92.43699,3.51066
97,20220923_153256,1663972376.120952130,3746817176.120952130,11.89717,97.97755,29.91606,-163.65167,-185.12421,-359.07683,60.85729,92.43687,3.51239
98,20220923_153256,1663972376.620312210,3746817176.620312210,11.89408,97.97779,29.91347,-163.64907,-185.12545,-359.07745,60.84496,92.43268,3.50758
99,20220923_153257,1663972377.120233540,3746817177.120233530,11.89298,97.97360,29.92592,-163.64168,-185.12076,-359.08065,60.84324,92.43403,3.51116
