index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
0,20220926_144419,1664228659.369322300,1664228661.876574990,-40.000000,40.000,40.000,-2.250000,11.367,8.442,-42.250000,51.367,48.442,-9.152120E+1,2.260380E+2,-6.260520E+1,4.140894E-2,1.923538E-2,5.072179E-2
1,20220926_144427,1664228667.577176570,1664228669.657957550,-40.000000,40.000,80.000,-2.250000,11.367,8.442,-42.250000,51.367,88.442,-7.353040E+1,2.527280E+2,-5.742680E+1,1.556599E-2,8.366600E-3,4.697020E-2
2,20220926_144436,1664228676.031456950,1664228678.112065790,-40.000000,40.000,120.000,-2.250000,11.367,8.442,-42.250000,51.367,128.442,-5.467400E+1,2.670580E+2,-4.751260E+1,4.997499E-2,4.472136E-3,3.089175E-2
3,20220926_144442,1664228682.776446340,1664228684.856920720,-40.000000,40.000,160.000,-2.250000,11.367,8.442,-42.250000,51.367,168.442,-3.685640E+1,2.735360E+2,-3.974200E+1,1.525543E-1,5.477226E-3,4.585303E-2
4,20220926_144450,1664228690.870664120,1664228692.951350210,-40.000000,40.000,200.000,-2.250000,11.367,8.442,-42.250000,51.367,208.442,-2.141920E+1,2.757920E+2,-3.364700E+1,1.962210E-1,8.348653E-2,5.383354E-1
5,20220926_144535,1664228735.889929770,1664228737.972500800,0.000000,40.000,40.000,-2.250000,11.367,8.442,-2.250000,51.367,48.442,-8.176600E+1,2.079540E+2,-5.309460E+1,2.390607E-2,1.140175E-2,2.668895E-2
6,20220926_144554,1664228754.698165420,1664228756.778442380,0.000000,40.000,80.000,-2.250000,11.367,8.442,-2.250000,51.367,88.442,-6.589380E+1,2.346420E+2,-5.169700E+1,2.517340E-2,8.366600E-3,1.772005E-2
7,20220926_144602,1664228762.507618430,1664228764.588537690,0.000000,40.000,120.000,-2.250000,11.367,8.442,-2.250000,51.367,128.442,-4.972600E+1,2.497460E+2,-4.518960E+1,9.823441E-3,5.477226E-3,8.961027E-3
8,20220926_144609,1664228769.313421730,1664228771.393268110,0.000000,40.000,160.000,-2.250000,11.367,8.442,-2.250000,51.367,168.442,-3.399500E+1,2.576380E+2,-3.823400E+1,6.089745E-2,1.788854E-2,1.213899E-1
9,20220926_144619,1664228779.338560580,1664228781.418799880,0.000000,40.000,200.000,-2.250000,11.367,8.442,-2.250000,51.367,208.442,-2.015380E+1,2.614280E+2,-3.334360E+1,3.279787E-2,8.366600E-3,9.606404E-2
10,20220926_144711,1664228831.993472100,1664228834.074007990,40.000000,40.000,40.000,-2.250000,11.367,8.442,37.750000,51.367,48.442,-6.953620E+1,1.939380E+2,-4.440400E+1,2.298260E-2,8.366600E-3,2.648585E-2
11,20220926_144718,1664228838.617623330,1664228840.698460580,40.000000,40.000,80.000,-2.250000,11.367,8.442,37.750000,51.367,88.442,-5.572620E+1,2.196180E+2,-4.445980E+1,1.382751E-2,8.366600E-3,3.920714E-2
12,20220926_144725,1664228845.283824920,1664228847.364539150,40.000000,40.000,120.000,-2.250000,11.367,8.442,37.750000,51.367,128.442,-4.220720E+1,2.346340E+2,-4.080500E+1,9.862403E-2,8.944272E-3,7.963981E-2
13,20220926_144736,1664228856.049479010,1664228858.130498410,40.000000,40.000,160.000,-2.250000,11.367,8.442,37.750000,51.367,168.442,-2.919180E+1,2.432880E+2,-3.638140E+1,1.772569E-2,8.366600E-3,7.797628E-2
14,20220926_144744,1664228864.901520730,1664228867.394320010,40.000000,40.000,200.000,-2.250000,11.367,8.442,37.750000,51.367,208.442,-1.515104E+1,2.478640E+2,-3.205820E+1,3.657865E-2,1.516575E-2,4.748368E-2
15,20220926_144856,1664228936.235534190,1664228938.753199100,80.000000,40.000,40.000,-2.250000,11.367,8.442,77.750000,51.367,48.442,-5.513040E+1,1.842860E+2,-3.718560E+1,4.920671E-2,8.944272E-3,1.258173E-2
16,20220926_144904,1664228944.199569700,1664228946.280691150,80.000000,40.000,80.000,-2.250000,11.367,8.442,77.750000,51.367,88.442,-4.662800E+1,2.064640E+2,-4.001880E+1,9.933529E-2,5.176872E-2,1.982927E-2
17,20220926_144911,1664228951.125572680,1664228953.206520080,80.000000,40.000,120.000,-2.250000,11.367,8.442,77.750000,51.367,128.442,-3.609360E+1,2.165560E+2,-3.792400E+1,1.116660E-1,7.736472E-1,2.287116E-1
18,20220926_144919,1664228959.331363200,1664228961.412255290,80.000000,40.000,160.000,-2.250000,11.367,8.442,77.750000,51.367,168.442,-2.568180E+1,2.233260E+2,-3.483980E+1,1.253324E-1,1.516575E-2,2.400650E-1
19,20220926_144928,1664228968.090405460,1664228970.583875180,80.000000,40.000,200.000,-2.250000,11.367,8.442,77.750000,51.367,208.442,-1.502876E+1,2.280240E+2,-3.179480E+1,6.801645E-2,6.730527E-2,2.319914E-2
