index,x,y,z,B_x,B_y,B_z
0,-21.799999999999997,-327.25,-154.28000000000003,-0.20261599999994928,-0.5811459999999329,-1.4373520000000184
1,-21.799999999999997,-327.25,-152.64734693877554,-0.22184919852017515,-0.5930839065607074,-1.4484134643486186
2,-21.799999999999997,-327.25,-151.01469387755105,-0.24133969145503897,-0.6052495830463158,-1.459234546194196
3,-21.799999999999997,-327.25,-149.38204081632657,-0.2610442621605955,-0.6175975007914758,-1.4698258984503951
4,-21.799999999999997,-327.25,-147.74938775510208,-0.2809196978325872,-0.6300826022899741,-1.480198089420142
5,-21.799999999999997,-327.25,-146.1167346938776,-0.30092266613689844,-0.6426601874307494,-1.490361623005299
6,-21.799999999999997,-327.25,-144.4840816326531,-0.3210095847180128,-0.655285789906145,-1.5003269601367464
7,-21.799999999999997,-327.25,-142.85142857142858,-0.34113648657773865,-0.667915046727046,-1.5101045409313798
8,-21.799999999999997,-327.25,-141.2187755102041,-0.3612588846628739,-0.680503564136643,-1.5197048070202754
9,-21.799999999999997,-327.25,-139.5861224489796,-0.38133163918143964,-0.6930067834147735,-1.529138223466262
10,-21.799999999999997,-327.25,-137.95346938775512,-0.401308831183087,-0.7053798500774633,-1.5384152996811622
11,-21.799999999999997,-327.25,-136.32081632653063,-0.42114364576650587,-0.7175774898308305,-1.5475466087851402
12,-21.799999999999997,-327.25,-134.68816326530614,-0.44078826793605685,-0.7295538943042743,-1.5565428049040548
13,-21.799999999999997,-327.25,-133.05551020408166,-0.46019886214799044,-0.7412672621298384,-1.565413770173592
14,-21.799999999999997,-327.25,-131.42285714285717,-0.4793745467991357,-0.7527154796412674,-1.5741619413903294
15,-21.799999999999997,-327.25,-129.79020408163268,-0.4983359401199152,-0.7639164451820193,-1.5827859831419175
16,-21.799999999999997,-327.25,-128.1575510204082,-0.5171025984238042,-0.774887377972334,-1.5912846507250862
17,-21.799999999999997,-327.25,-126.52489795918369,-0.5356928118248163,-0.7856446069089884,-1.5996568252497383
18,-21.799999999999997,-327.25,-124.8922448979592,-0.554123605171128,-0.796203547085554,-1.6079015137549533
19,-21.799999999999997,-327.25,-123.25959183673471,-0.5724107549927737,-0.8065786909938311,-1.6160178467319213
20,-21.799999999999997,-327.25,-121.62693877551023,-0.5905688205663466,-0.8167836129262014,-1.624005073378612
21,-21.799999999999997,-327.25,-119.99428571428572,-0.6086111869182105,-0.8268309848409672,-1.6318625549583032
22,-21.799999999999997,-327.25,-118.36163265306124,-0.6265501174549968,-0.836732601808194,-1.6395897566545443
23,-21.799999999999997,-327.25,-116.72897959183675,-0.6443968139003573,-0.8464994151182168,-1.6471862383155695
24,-21.799999999999997,-327.25,-115.09632653061226,-0.6621614813205667,-0.8561415712006237,-1.6546516444621204
25,-21.799999999999997,-327.25,-113.46367346938777,-0.6798533962048623,-0.8656684546266433,-1.6619856939000783
26,-21.799999999999997,-327.25,-111.83102040816328,-0.6974809758062293,-0.875088733659311,-1.6691881692356958
27,-21.799999999999997,-327.25,-110.1983673469388,-0.7150518472230374,-0.8844104070229264,-1.6762589065454137
28,-21.799999999999997,-327.25,-108.56571428571431,-0.7325729149801816,-0.893640850784152,-1.68319778540031
29,-21.799999999999997,-327.25,-106.93306122448982,-0.7500504261415131,-0.9027868644590171,-1.6900047194021113
30,-21.799999999999997,-327.25,-105.30040816326533,-0.7674900322379301,-0.9118547156614909,-1.6966796473386978
31,-21.799999999999997,-327.25,-103.66775510204083,-0.7848968475209404,-0.9208501827923214,-1.703222525034306
32,-21.799999999999997,-327.25,-102.03510204081634,-0.8022755032375812,-0.9297785954258302,-1.7096333179315337
33,-21.799999999999997,-327.25,-100.40244897959185,-0.8196301977896212,-0.9386448721832039,-1.7159119944190877
34,-21.799999999999997,-327.25,-98.76979591836735,-0.8369647427530253,-0.9474535559866126,-1.722058519897658
35,-21.799999999999997,-327.25,-97.13714285714286,-0.85428260484764,-0.9562088466780096,-1.7280728515571724
36,-21.799999999999997,-327.25,-95.50448979591837,-0.8715869440000574,-0.9649146310428023,-1.7339549338312281
37,-21.799999999999997,-327.25,-93.87183673469389,-0.8888806477086462,-0.9735745103297972,-1.7397046944845158
38,-21.799999999999997,-327.25,-92.2391836734694,-0.9061663619389435,-0.9821918253898616,-1.7453220412838988
39,-21.799999999999997,-327.25,-90.60653061224491,-0.923446518805747,-0.9907696795758625,-1.75080685920355
40,-21.799999999999997,-327.25,-88.97387755102042,-0.9407233612964205,-0.9993109595564533,-1.7561590081119647
41,-21.799999999999997,-327.25,-87.34122448979593,-0.9579989652930578,-1.0078183542016745,-1.7613783208922626
42,-21.799999999999997,-327.25,-85.70857142857143,-0.9752752591437286,-1.0162943716989616,-1.7664646019463675
43,-21.799999999999997,-327.25,-84.07591836734694,-0.9925540410181952,-1.0247413550507645,-1.7714176260393515
44,-21.799999999999997,-327.25,-82.44326530612246,-1.0098369942728311,-1.0331614960979323,-1.7762371374412993
45,-21.799999999999997,-327.25,-80.81061224489797,-1.0271257010313661,-1.0415568482096091,-1.7809228493278653
46,-21.799999999999997,-327.25,-79.17795918367348,-1.0444216541712308,-1.0499293377623644,-1.785474443405917
47,-21.799999999999997,-327.25,-77.54530612244899,-1.0617262678911175,-1.058280774530317,-1.789891569730301
48,-21.799999999999997,-327.25,-75.91265306122449,-1.0790408870170438,-1.0666128610899932,-1.794173846685453
49,-21.799999999999997,-327.25,-74.28,-1.096366795189624,-1.0749272013394489,-1.7983208611054522
50,-21.799999999999997,-316.63775510204084,-154.28000000000003,-0.1811829394702329,-0.5895518827542787,-1.511901924872447
51,-21.799999999999997,-316.63775510204084,-152.64734693877554,-0.19842790934796994,-0.5998328179462646,-1.5228939547552045
52,-21.799999999999997,-316.63775510204084,-151.01469387755105,-0.2158528012352008,-0.6102412879729968,-1.533678163225801
53,-21.799999999999997,-316.63775510204084,-149.38204081632657,-0.23344016397228984,-0.6207592225900385,-1.5442593946972636
54,-21.799999999999997,-316.63775510204084,-147.74938775510208,-0.25116800512273585,-0.6313639503317745,-1.5546435832423384
55,-21.799999999999997,-316.63775510204084,-146.1167346938776,-0.2690108859478073,-0.6420294236737618,-1.5648374758358017
56,-21.799999999999997,-316.63775510204084,-144.4840816326531,-0.2869410179631302,-0.6527274297562826,-1.5748483590290334
57,-21.799999999999997,-316.63775510204084,-142.85142857142858,-0.30492925272801585,-0.6634286579744071,-1.5846838193916426
58,-21.799999999999997,-316.63775510204084,-141.2187755102041,-0.32294599746074937,-0.6741036494826744,-1.5943515345040709
59,-21.799999999999997,-316.63775510204084,-139.5861224489796,-0.3409621645805885,-0.684723735389241,-1.603859073478418
60,-21.799999999999997,-316.63775510204084,-137.95346938775512,-0.3589502692779831,-0.6952620789806474,-1.613213683660419
61,-21.799999999999997,-316.63775510204084,-136.32081632653063,-0.37688572135130016,-0.7056948737768494,-1.6224220521738602
62,-21.799999999999997,-316.63775510204084,-134.68816326530614,-0.3947482077573454,-0.7160026094784939,-1.6314900574616331
63,-21.799999999999997,-316.63775510204084,-133.05551020408166,-0.4125228713650131,-0.726171140674353,-1.6404225594611717
64,-21.799999999999997,-316.63775510204084,-131.42285714285717,-0.4302008966992048,-0.7361922048060023,-1.6492232938594071
65,-21.799999999999997,-316.63775510204084,-129.79020408163268,-0.4477792614077316,-0.7460631703982585,-1.657894910951569
66,-21.799999999999997,-316.63775510204084,-128.1575510204082,-0.46525975084438187,-0.7557861062228994,-1.666439141914097
67,-21.799999999999997,-316.63775510204084,-126.52489795918369,-0.4826476026630928,-0.7653665086763226,-1.6748570293402452
68,-21.799999999999997,-316.63775510204084,-124.8922448979592,-0.4999501700921485,-0.7748120444667848,-1.6831491552725595
69,-21.799999999999997,-316.63775510204084,-123.25959183673471,-0.5171758365065102,-0.7841315226969527,-1.6913158267604018
70,-21.799999999999997,-316.63775510204084,-121.62693877551023,-0.5343332441031237,-0.7933341548082353,-1.6993572080955488
71,-21.799999999999997,-316.63775510204084,-119.99428571428572,-0.551430800319622,-0.8024290699127619,-1.707273405883484
72,-21.799999999999997,-316.63775510204084,-118.36163265306124,-0.56847639331653,-0.8114250233025473,-1.7150645186625155
73,-21.799999999999997,-316.63775510204084,-116.72897959183675,-0.5854772508807855,-0.8203302385503548,-1.7227306622711183
74,-21.799999999999997,-316.63775510204084,-115.09632653061226,-0.6024398917269025,-0.8291523368424691,-1.7302719796656163
75,-21.799999999999997,-316.63775510204084,-113.46367346938777,-0.6193701331760622,-0.8378983207668398,-1.7376886413243255
76,-21.799999999999997,-316.63775510204084,-111.83102040816328,-0.6362731310774166,-0.8465745905275526,-1.7449808403397356
77,-21.799999999999997,-316.63775510204084,-110.1983673469388,-0.6531534363315643,-0.8551869782223775,-1.7521487848468524
78,-21.799999999999997,-316.63775510204084,-108.56571428571431,-0.6700150581638695,-0.8637407910287038,-1.7591926894448449
79,-21.799999999999997,-316.63775510204084,-106.93306122448982,-0.6868615281296684,-0.872240857608233,-1.766112766614242
80,-21.799999999999997,-316.63775510204084,-105.30040816326533,-0.7036959613493252,-0.8806915742916885,-1.7729092187010593
81,-21.799999999999997,-316.63775510204084,-103.66775510204083,-0.7205211130844589,-0.8890969490790326,-1.7795822307671614
82,-21.799999999999997,-316.63775510204084,-102.03510204081634,-0.7373394297959521,-0.897460642415183,-1.7861319644288471
83,-21.799999999999997,-316.63775510204084,-100.40244897959185,-0.7541530944584451,-0.9057860043060941,-1.7925585527020473
84,-21.799999999999997,-316.63775510204084,-98.76979591836735,-0.7709640662815502,-0.9140761076815807,-1.7988620958086017
85,-21.799999999999997,-316.63775510204084,-97.13714285714286,-0.7877741152070143,-0.9223337781373857,-1.805042657863467
86,-21.799999999999997,-316.63775510204084,-95.50448979591837,-0.8045848516468084,-0.9305616202980787,-1.811100264348525
87,-21.799999999999997,-316.63775510204084,-93.87183673469389,-0.821397751972313,-0.9387620410992668,-1.8170349002739243
88,-21.799999999999997,-316.63775510204084,-92.2391836734694,-0.8382141802572676,-0.946937270303863,-1.8228465089286772
89,-21.799999999999997,-316.63775510204084,-90.60653061224491,-0.8550354067506873,-0.9550893785620929,-1.8285349911317184
90,-21.799999999999997,-316.63775510204084,-88.97387755102042,-0.871862623520741,-0.9632202933063923,-1.83410020490021
91,-21.799999999999997,-316.63775510204084,-87.34122448979593,-0.8886969576603292,-0.9713318127477919,-1.8395419654624874
92,-21.799999999999997,-316.63775510204084,-85.70857142857143,-0.9055394824059135,-0.9794256182144636,-1.8448600455520818
93,-21.799999999999997,-316.63775510204084,-84.07591836734694,-0.9223912264732803,-0.9875032850424645,-1.8500541759268572
94,-21.799999999999997,-316.63775510204084,-82.44326530612246,-0.9392531818771488,-0.9955662922067177,-1.8551240460664644
95,-21.799999999999997,-316.63775510204084,-80.81061224489797,-0.9561263104632474,-1.0036160308569606,-1.8600693050073005
96,-21.799999999999997,-316.63775510204084,-79.17795918367348,-0.9730115493496783,-1.0116538118953144,-1.8648895622819026
97,-21.799999999999997,-316.63775510204084,-77.54530612244899,-0.9899098154467652,-1.0196808727225743,-1.8695843889333474
