index,datetime,utime_start,utime_end,x0,y0,z0,dx,dy,dz,x,y,z,B1,B2,B3,dB1,dB2,dB3
23,20220923_155349,1663973629.743855950,1663973631.824707030,-80.000000,80.000,160.000,-2.250000,11.367,8.442,-82.250000,91.367,168.442,-2.228100E+1,2.200200E+2,-3.450600E+1,5.374477E-2,1.224745E-2,2.922328E-2
24,20220923_155359,1663973639.727422240,1663973642.221435070,-80.000000,80.000,200.000,-2.250000,11.367,8.442,-82.250000,91.367,208.442,-1.163604E+1,2.247400E+2,-3.225980E+1,1.249601E-1,1.000000E-2,8.942427E-2
25,20220923_155504,1663973704.544685360,1663973707.062022210,-40.000000,80.000,40.000,-2.250000,11.367,8.442,-42.250000,91.367,48.442,-3.956800E+1,1.782844E+2,-2.993620E+1,1.070047E-2,1.333417E-2,3.640330E-2
26,20220923_155513,1663973713.438323970,1663973715.519968030,-40.000000,80.000,80.000,-2.250000,11.367,8.442,-42.250000,91.367,88.442,-3.429760E+1,1.921256E+2,-3.539660E+1,6.786236E-2,1.443260E-2,1.892881E-2
27,20220923_155521,1663973721.528482440,1663973724.061336990,-40.000000,80.000,120.000,-2.250000,11.367,8.442,-42.250000,91.367,128.442,-2.688880E+1,2.029060E+2,-3.614080E+1,4.525152E-2,5.477226E-3,1.870027E-2
28,20220923_155532,1663973732.040767190,1663973734.534359930,-40.000000,80.000,160.000,-2.250000,11.367,8.442,-42.250000,91.367,168.442,-1.700858E+1,2.104360E+2,-3.553640E+1,5.382148E-2,5.477226E-3,5.648274E-2
29,20220923_155541,1663973741.527664180,1663973743.608955860,-40.000000,80.000,200.000,-2.250000,11.367,8.442,-42.250000,91.367,208.442,-8.098920E+0,2.150860E+2,-3.320300E+1,2.849026E-1,1.341641E-2,7.542877E-2
30,20220923_155819,1663973899.090575220,1663973901.610360620,0.000000,80.000,40.000,-2.250000,11.367,8.442,-2.250000,91.367,48.442,-3.075800E+1,1.757350E+2,-3.597460E+1,5.522681E-3,3.535534E-3,6.655825E-3
31,20220923_155827,1663973907.762681480,1663973909.843832970,0.000000,80.000,80.000,-2.250000,11.367,8.442,-2.250000,91.367,88.442,-2.732700E+1,1.861128E+2,-4.058220E+1,3.072458E-2,1.263725E-2,5.726867E-2
32,20220923_155836,1663973916.642002580,1663973918.723150250,0.000000,80.000,120.000,-2.250000,11.367,8.442,-2.250000,91.367,128.442,-2.116040E+1,1.950854E+2,-4.135580E+1,5.705962E-2,1.422322E-2,1.125042E-1
